"","","","Indicator Code","Indicator Name","Indicator Type","Indicator Subtype","Region","Country","City","Indicator Currency","Indicator Frequency","Source","Source link","Secondary link","Unit","Value Type","Relevence"
"","","","SAFZAXX09Na008","BRICS Summit","Economic","Speeches, Meetings","Southern Africa","South Africa","","-","As Scheduled","-","-","-","-","-","M"
"","","","SAFZAXX02Ma185","Food and Fashion-Total Trade Retail Sales-Actual values","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","https://www.statssa.gov.za/","https://www.statssa.gov.za/?page_id=1854&PPN=P6242.1&SCH=73320","https://www.statssa.gov.za/?page_id=1854&PPN=P6242.1&SCH=73320","-","Number","L"
"","","","SAFZAXX09Na007","SARB Monetary Policy Review","Economic","Speeches, Meetings","Southern Africa","South Africa","","-","As Scheduled","-","-","-","-","-","M"
"","","","SAFZAXX02Ma184","New Vehicle Sales by Manufacturer - CHERY AUTO SOUTH AFRICA","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","NAAMSA","https://www.naamsa.co.za/","https://www.naamsa.co.za/FlashResults","-","Number","L"
"","","","SAFZAXX02Ma183","New Vehicle Sales by Manufacturer - HAVAL MOTORS SA","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","NAAMSA","https://www.naamsa.co.za/","https://www.naamsa.co.za/FlashResults","-","Number","L"
"","","","SAFZAXX09Na006","State of the Nation Address","Economic","Speeches, Meetings","Southern Africa","South Africa","","-","As Scheduled","-","-","-","-","-","L"
"","","","SAFZAXX02Ma182","New Vehicle Sales by Manufacturer - Suzuki","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","NAAMSA","https://www.naamsa.co.za/","https://www.naamsa.co.za/FlashResults","-","Number","L"
"","","","SAFZAXX09Na005","Reserve Bank AGM","Economic","Speeches, Meetings","Southern Africa","South Africa","","-","As Scheduled","-","-","-","-","-","M"
"","","","SAFZAXX01Qa145","Total Employment","Economic","Employment, Unemployment and Wages","Southern Africa","South Africa","","-","Quarterly","South African Reserve Banak","https://www.resbank.co.za","https://www.resbank.co.za/en/home/publications/quarterly-bulletin1/Quarterly-Bulletin-Publication","k","Number","L"
"","","","SAFZAXX07Ma262","Exports","Economic","International Statistics, Trade","Southern Africa","South Africa","","ZAR","Monthly","SARS","https://www.sars.gov.za/","https://www.sars.gov.za/customs-and-excise/trade-statistics/#elementor-toc__heading-anchor-2","mn","Currency","L"
"","","","SAFZAXX07Ma261","Imports","Economic","International Statistics, Trade","Southern Africa","South Africa","","ZAR","Monthly","SARS","https://www.sars.gov.za/","https://www.sars.gov.za/customs-and-excise/trade-statistics/#elementor-toc__heading-anchor-2","mn","Currency","L"
"","","","SAFZAXX02Ma181","Producer Price Index","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","Stats SA","http://www.statssa.gov.za/","http://www.statssa.gov.za/?page_id=1866&PPN=P0142.1&SCH=72739","-","Number","L"
"","","","SAFZAXX02Ma180","Manufacturing Sales s.a. - Furniture and Other Manufacturing Division","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma179","Manufacturing Sales s.a. - Motor Vehicles, Parts and Accessories and Other Transport Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma178","Manufacturing Sales s.a. - Radio, Television and Communication Apparatus and Professional Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma177","Manufacturing Sales s.a. - Electrical Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma176","Manufacturing Sales s.a. - Basic Iron and Steel, Non-Ferrous Metal Products, Metal Products and Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma175","Manufacturing Sales s.a. - Glass and Non-Metallic Mineral Products","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma174","Manufacturing Sales s.a. - Petroleum, Chemical Products, Rubber and Plastic Products","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma173","Manufacturing Sales s.a. - Wood and Wood Products, Paper, Publishing and Printing","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma172","Manufacturing Sales s.a. - Textiles, Clothing, Leather and Footwear","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma171","Manufacturing Sales s.a. - Food and Beverages","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma170","Manufacturing Sales - Furniture and Other Manufacturing Division","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma169","Manufacturing Sales - Motor Vehicles, Parts and Accessories and Other Transport Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma168","Manufacturing Sales - Radio, Television and Communication Apparatus and Professional Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma167","Manufacturing Sales - Electrical Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma166","Manufacturing Sales - Basic Iron and Steel, Non-Ferrous Metal Products, Metal Products and Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma165","Manufacturing Sales - Glass and Non-Metallic Mineral Products","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
