"PERIOD","ACTUAL_VALUE","INDICATOR_CODE","INDICATOR_NAME",
2000-03-31 00:00:00,26.7,"SAFZAXX01Qa001","Unemployment Rate",
2000-06-30 00:00:00,26.7,"SAFZAXX01Qa001","Unemployment Rate",
2000-09-30 00:00:00,23.3,"SAFZAXX01Qa001","Unemployment Rate",
2000-12-31 00:00:00,23.3,"SAFZAXX01Qa001","Unemployment Rate",
2001-03-31 00:00:00,24.6,"SAFZAXX01Qa001","Unemployment Rate",
2001-06-30 00:00:00,24.6,"SAFZAXX01Qa001","Unemployment Rate",
2001-09-30 00:00:00,26.2,"SAFZAXX01Qa001","Unemployment Rate",
2001-12-31 00:00:00,26.2,"SAFZAXX01Qa001","Unemployment Rate",
2002-03-31 00:00:00,27.7,"SAFZAXX01Qa001","Unemployment Rate",
2002-06-30 00:00:00,27.7,"SAFZAXX01Qa001","Unemployment Rate",
2002-09-30 00:00:00,26.6,"SAFZAXX01Qa001","Unemployment Rate",
2002-12-31 00:00:00,26.6,"SAFZAXX01Qa001","Unemployment Rate",
2003-03-31 00:00:00,29.3,"SAFZAXX01Qa001","Unemployment Rate",
2003-06-30 00:00:00,29.3,"SAFZAXX01Qa001","Unemployment Rate",
2003-09-30 00:00:00,28.4,"SAFZAXX01Qa001","Unemployment Rate",
2003-12-31 00:00:00,28.4,"SAFZAXX01Qa001","Unemployment Rate",
2004-03-31 00:00:00,26.4,"SAFZAXX01Qa001","Unemployment Rate",
2004-06-30 00:00:00,26.4,"SAFZAXX01Qa001","Unemployment Rate",
2004-09-30 00:00:00,23.0,"SAFZAXX01Qa001","Unemployment Rate",
2004-12-31 00:00:00,23.0,"SAFZAXX01Qa001","Unemployment Rate",
2005-03-31 00:00:00,24.2,"SAFZAXX01Qa001","Unemployment Rate",
2005-06-30 00:00:00,24.2,"SAFZAXX01Qa001","Unemployment Rate",
2005-09-30 00:00:00,23.5,"SAFZAXX01Qa001","Unemployment Rate",
2005-12-31 00:00:00,23.5,"SAFZAXX01Qa001","Unemployment Rate",
2006-03-31 00:00:00,23.1,"SAFZAXX01Qa001","Unemployment Rate",
2006-06-30 00:00:00,23.1,"SAFZAXX01Qa001","Unemployment Rate",
2006-09-30 00:00:00,22.1,"SAFZAXX01Qa001","Unemployment Rate",
2006-12-31 00:00:00,22.1,"SAFZAXX01Qa001","Unemployment Rate",
2007-03-31 00:00:00,23.6,"SAFZAXX01Qa001","Unemployment Rate",
2007-06-30 00:00:00,23.6,"SAFZAXX01Qa001","Unemployment Rate",
2007-09-30 00:00:00,21.0,"SAFZAXX01Qa001","Unemployment Rate",
2007-12-31 00:00:00,21.0,"SAFZAXX01Qa001","Unemployment Rate",
2008-03-31 00:00:00,23.2,"SAFZAXX01Qa001","Unemployment Rate",
2008-06-30 00:00:00,22.6,"SAFZAXX01Qa001","Unemployment Rate",
2008-09-30 00:00:00,22.8,"SAFZAXX01Qa001","Unemployment Rate",
2008-12-31 00:00:00,21.5,"SAFZAXX01Qa001","Unemployment Rate",
2009-03-31 00:00:00,23.0,"SAFZAXX01Qa001","Unemployment Rate",
2009-06-30 00:00:00,23.2,"SAFZAXX01Qa001","Unemployment Rate",
2009-09-30 00:00:00,24.5,"SAFZAXX01Qa001","Unemployment Rate",
2009-12-31 00:00:00,24.1,"SAFZAXX01Qa001","Unemployment Rate",
2010-03-31 00:00:00,25.1,"SAFZAXX01Qa001","Unemployment Rate",
2010-06-30 00:00:00,25.1,"SAFZAXX01Qa001","Unemployment Rate",
2010-09-30 00:00:00,25.4,"SAFZAXX01Qa001","Unemployment Rate",
2010-12-31 00:00:00,23.9,"SAFZAXX01Qa001","Unemployment Rate",
2011-03-31 00:00:00,24.8,"SAFZAXX01Qa001","Unemployment Rate",
2011-06-30 00:00:00,25.6,"SAFZAXX01Qa001","Unemployment Rate",
2011-09-30 00:00:00,25.0,"SAFZAXX01Qa001","Unemployment Rate",
2011-12-31 00:00:00,23.8,"SAFZAXX01Qa001","Unemployment Rate",
2012-03-31 00:00:00,25.0,"SAFZAXX01Qa001","Unemployment Rate",
2012-06-30 00:00:00,24.8,"SAFZAXX01Qa001","Unemployment Rate",
2012-09-30 00:00:00,25.2,"SAFZAXX01Qa001","Unemployment Rate",
2012-12-31 00:00:00,24.5,"SAFZAXX01Qa001","Unemployment Rate",
2013-03-31 00:00:00,25.0,"SAFZAXX01Qa001","Unemployment Rate",
2013-06-30 00:00:00,25.3,"SAFZAXX01Qa001","Unemployment Rate",
2013-09-30 00:00:00,24.5,"SAFZAXX01Qa001","Unemployment Rate",
2013-12-31 00:00:00,24.1,"SAFZAXX01Qa001","Unemployment Rate",
2014-03-31 00:00:00,25.2,"SAFZAXX01Qa001","Unemployment Rate",
2014-06-30 00:00:00,25.5,"SAFZAXX01Qa001","Unemployment Rate",
2014-09-30 00:00:00,25.4,"SAFZAXX01Qa001","Unemployment Rate",
2014-12-31 00:00:00,24.3,"SAFZAXX01Qa001","Unemployment Rate",
2015-03-31 00:00:00,26.4,"SAFZAXX01Qa001","Unemployment Rate",
2015-06-30 00:00:00,25.0,"SAFZAXX01Qa001","Unemployment Rate",
2015-09-30 00:00:00,25.5,"SAFZAXX01Qa001","Unemployment Rate",
2015-12-31 00:00:00,24.5,"SAFZAXX01Qa001","Unemployment Rate",
2016-03-31 00:00:00,26.7,"SAFZAXX01Qa001","Unemployment Rate",
2016-06-30 00:00:00,26.6,"SAFZAXX01Qa001","Unemployment Rate",
2016-09-30 00:00:00,27.1,"SAFZAXX01Qa001","Unemployment Rate",
2016-12-31 00:00:00,26.5,"SAFZAXX01Qa001","Unemployment Rate",
2017-03-31 00:00:00,27.7,"SAFZAXX01Qa001","Unemployment Rate",
2017-06-30 00:00:00,27.7,"SAFZAXX01Qa001","Unemployment Rate",
2017-09-30 00:00:00,27.7,"SAFZAXX01Qa001","Unemployment Rate",
2017-12-31 00:00:00,26.7,"SAFZAXX01Qa001","Unemployment Rate",
2018-03-31 00:00:00,26.7,"SAFZAXX01Qa001","Unemployment Rate",
2018-06-30 00:00:00,27.2,"SAFZAXX01Qa001","Unemployment Rate",
2018-09-30 00:00:00,27.5,"SAFZAXX01Qa001","Unemployment Rate",
2018-12-31 00:00:00,27.1,"SAFZAXX01Qa001","Unemployment Rate",
2019-03-31 00:00:00,27.6,"SAFZAXX01Qa001","Unemployment Rate",
2019-06-30 00:00:00,29.0,"SAFZAXX01Qa001","Unemployment Rate",
2019-09-30 00:00:00,29.1,"SAFZAXX01Qa001","Unemployment Rate",
2019-12-31 00:00:00,29.1,"SAFZAXX01Qa001","Unemployment Rate",
2020-03-31 00:00:00,30.1,"SAFZAXX01Qa001","Unemployment Rate",
2020-06-30 00:00:00,23.3,"SAFZAXX01Qa001","Unemployment Rate",
2020-09-30 00:00:00,30.8,"SAFZAXX01Qa001","Unemployment Rate",
2020-12-31 00:00:00,32.5,"SAFZAXX01Qa001","Unemployment Rate",
2021-03-31 00:00:00,32.6,"SAFZAXX01Qa001","Unemployment Rate",
2021-06-30 00:00:00,34.4,"SAFZAXX01Qa001","Unemployment Rate",
2021-09-30 00:00:00,34.9,"SAFZAXX01Qa001","Unemployment Rate",
2021-12-31 00:00:00,35.0,"SAFZAXX01Qa001","Unemployment Rate",
2021-12-31 00:00:00,35.3,"SAFZAXX01Qa001","Unemployment Rate",
2022-03-31 00:00:00,34.5,"SAFZAXX01Qa001","Unemployment Rate",
2022-06-30 00:00:00,33.9,"SAFZAXX01Qa001","Unemployment Rate",
2022-09-30 00:00:00,32.9,"SAFZAXX01Qa001","Unemployment Rate",
2022-12-31 00:00:00,32.7,"SAFZAXX01Qa001","Unemployment Rate",
2023-03-31 00:00:00,32.9,"SAFZAXX01Qa001","Unemployment Rate",
2023-06-30 00:00:00,32.6,"SAFZAXX01Qa001","Unemployment Rate",
2008-03-31 00:00:00,4.19,"SAFZAXX01Qa002","Unemployment Total",
2008-06-30 00:00:00,4.11,"SAFZAXX01Qa002","Unemployment Total",
2008-09-30 00:00:00,4.12,"SAFZAXX01Qa002","Unemployment Total",
2008-12-31 00:00:00,3.87,"SAFZAXX01Qa002","Unemployment Total",
2009-03-31 00:00:00,4.18,"SAFZAXX01Qa002","Unemployment Total",
2009-06-30 00:00:00,4.12,"SAFZAXX01Qa002","Unemployment Total",
2009-09-30 00:00:00,4.24,"SAFZAXX01Qa002","Unemployment Total",
2009-12-31 00:00:00,4.23,"SAFZAXX01Qa002","Unemployment Total",
2010-03-31 00:00:00,4.4,"SAFZAXX01Qa002","Unemployment Total",
2010-06-30 00:00:00,4.4,"SAFZAXX01Qa002","Unemployment Total",
2010-09-30 00:00:00,4.4,"SAFZAXX01Qa002","Unemployment Total",
2010-12-31 00:00:00,4.14,"SAFZAXX01Qa002","Unemployment Total",
2011-03-31 00:00:00,4.36,"SAFZAXX01Qa002","Unemployment Total",
2011-06-30 00:00:00,4.54,"SAFZAXX01Qa002","Unemployment Total",
2011-09-30 00:00:00,4.44,"SAFZAXX01Qa002","Unemployment Total",
2011-12-31 00:00:00,4.24,"SAFZAXX01Qa002","Unemployment Total",
2012-03-31 00:00:00,4.53,"SAFZAXX01Qa002","Unemployment Total",
2012-06-30 00:00:00,4.47,"SAFZAXX01Qa002","Unemployment Total",
2012-09-30 00:00:00,4.67,"SAFZAXX01Qa002","Unemployment Total",
2012-12-31 00:00:00,4.5,"SAFZAXX01Qa002","Unemployment Total",
2013-03-31 00:00:00,4.6,"SAFZAXX01Qa002","Unemployment Total",
2013-06-30 00:00:00,4.72,"SAFZAXX01Qa002","Unemployment Total",
2013-09-30 00:00:00,4.88,"SAFZAXX01Qa002","Unemployment Total",
2013-12-31 00:00:00,4.83,"SAFZAXX01Qa002","Unemployment Total",
2014-03-31 00:00:00,5.067,"SAFZAXX01Qa002","Unemployment Total",
2014-06-30 00:00:00,5.154,"SAFZAXX01Qa002","Unemployment Total",
2014-09-30 00:00:00,5.151,"SAFZAXX01Qa002","Unemployment Total",
2014-12-31 00:00:00,4.909,"SAFZAXX01Qa002","Unemployment Total",
2015-03-31 00:00:00,5.535,"SAFZAXX01Qa002","Unemployment Total",
2015-06-30 00:00:00,5.23,"SAFZAXX01Qa002","Unemployment Total",
2015-09-30 00:00:00,5.4,"SAFZAXX01Qa002","Unemployment Total",
2015-12-31 00:00:00,5.2,"SAFZAXX01Qa002","Unemployment Total",
2016-03-31 00:00:00,5.723,"SAFZAXX01Qa002","Unemployment Total",
2016-06-30 00:00:00,5.634,"SAFZAXX01Qa002","Unemployment Total",
2016-09-30 00:00:00,5.873,"SAFZAXX01Qa002","Unemployment Total",
2016-12-31 00:00:00,5.781,"SAFZAXX01Qa002","Unemployment Total",
2017-03-31 00:00:00,6.214,"SAFZAXX01Qa002","Unemployment Total",
2017-06-30 00:00:00,6.177,"SAFZAXX01Qa002","Unemployment Total",
