PERIOD,"Annualised GDP s.a. - Agriculture, Forestry and Fishing",Annualised GDP s.a. - Construction,"Annualised GDP s.a. - Electricity, Gas and Water","Annualised GDP s.a. - Finance, Real Estate and Business Services",Annualised GDP s.a. - General Government Services,Annualised GDP s.a. - Manufacturing,Annualised GDP s.a. - Mining and Quarrying,Annualised GDP s.a. - Personal Services,"Annualised GDP s.a. - Trade, Catering and Accommodation","Annualised GDP s.a. - Transport, Storage and Communication","Assets of Long-Term Insurers: Coin, Banknotes and Deposits",Assets of Long-Term Insurers: Fixed Property,Assets of Long-Term Insurers: Fixed-Interest Securities - Government,Assets of Long-Term Insurers: Fixed-Interest Securities - Local Governments,Assets of Long-Term Insurers: Fixed-Interest Securities - Public Enterprises,Assets of Long-Term Insurers: Loans against Policies,Assets of Long-Term Insurers: Loans to Public Sector,Assets of Long-Term Insurers: Mortgage Loans,Assets of Long-Term Insurers: Ordinary Shares,Assets of Long-Term Insurers: Other Fixed-Interest Securities,Assets of Long-Term Insurers: Other Loans,"Assets of Short-Term Insurers: Coin, Banknotes & Deposits",Assets of Short-Term Insurers: Fixed Property,Assets of Short-Term Insurers: Fixed-Interest Securities - Government,Assets of Short-Term Insurers: Fixed-Interest Securities - Local Governments,Assets of Short-Term Insurers: Fixed-Interest Securities - Public Enterprises,Assets of Short-Term Insurers: Mortgage Loans,Assets of Short-Term Insurers: Ordinary Shares,Assets of Short-Term Insurers: Other Fixed-Interest Securities,Assets of Short-Term Insurers: Other Loans,BER Business Confidence Index,BER Consumer Confidence,Final Consumption Expenditure by Constant Prices - General Government,Final Consumption Expenditure by Constant Prices - Households,Final Consumption Expenditure by Current Prices - General Government,Final Consumption Expenditure by Current Prices - Households,Final Consumption Expenditure by Households at Constant Prices - Durable Goods,Final Consumption Expenditure by Households at Constant Prices - Non - Durable Goods,Final Consumption Expenditure by Households at Constant Prices - Semi - Durable Goods ,Final Consumption Expenditure by Households at Constant Prices - Services,Final Consumption Expenditure by Households at Constant Prices - Total,Final Consumption Expenditure by Households at Current Prices - Durable Goods,Final Consumption Expenditure by Households at Current Prices - Non - Durable Goods,Final Consumption Expenditure by Households at Current Prices - Semi - Durable Goods ,Final Consumption Expenditure by Households at Current Prices - Services,Final Consumption Expenditure by Households at Current Prices - Total,Gross Domestic Product (QoQ),Gross Domestic Product (YoY),Long-Term Insurers : Current Expenditure - Administrative Expenses,Long-Term Insurers : Current Expenditure - Annuities,Long-Term Insurers : Current Expenditure - Claims Paid in a Lump Sum at Retirement,Long-Term Insurers : Current Expenditure - Claims Paid in a Lump Sum on Death and Other Payments,Long-Term Insurers : Current Expenditure - Surrenders of Pension Fund and Other Life Business,Long-Term Insurers : Current Receipts from Investment Income,Long-Term Insurers : Current Receipts from Other Insurance Business,Long-Term Insurers : Current Receipts from Premiums Received (Pension and Group Life Business),Long-Term Insurers : Current Receipts from Premiums Received (Retirement Annuities),Long-Term Insurers : Dividend Payments,Long-Term Insurers : Domestic Current Income Surplus,Long-Term Insurers: Current Expenditure - Taxation,"Nominal GDP - Agriculture, Forestry and Fishing",Nominal GDP - Construction,"Nominal GDP - Electricity, Gas and Water","Nominal GDP - Finance, Real Estate and Business Services",Nominal GDP - General Government Services,Nominal GDP - Manufacturing,Nominal GDP - Mining and Quarrying,Nominal GDP - Personal Sevices,Nominal GDP - Taxes less Subsidies on Products,"Nominal GDP - Transport, Storage and Communication","Nominal GDP - Wholesale and Retail Trade, Hotels and Restaurants",Nominal GDP at Market Prices,Other Assets of Long-Term Insurers,Other Assets of Short-Term Insurers,"Real GDP - Agriculture, Forestry and Fishing",Real GDP - Construction,"Real GDP - Electricity, Gas and Water","Real GDP - Finance, Real Estate and Business Services",Real GDP - General Government Services,Real GDP - Manufacturing,Real GDP - Mining and Quarrying,Real GDP - Personal Sevices,"Real GDP - Transport, Storage and Communication","Real GDP - Wholesale and Retail Trade, Hotels and Restaurants",Real GDP Value Added at Basic Prices,Real GDP at Market Prices,Remuneration Per Worker Change - Private Sector (QoQ),Remuneration Per Worker Change - Public Sector (QoQ),Remuneration Per Worker Change - Total (QoQ),Total Assets of Short-Term Insurers
1994-03-31,64026.62065289559,57342.36614121751,87523.33624971111,354152.5600743517,227628.43058499988,337649.4936382848,231749.14078173504,342888.2722928822,264449.3652273243,126106.48429699932,20705.0,28832.0,38654.0,5016.0,8785.0,2535.0,1936.0,805.0,156951.0,12518.0,5928.0,4302.0,554.0,3468.0,99.0,447.0,248.0,9154.0,1844.0,227.0,37.0,6.0,127828.0,323152.0,24143.0,80259.0,23177.0,139058.0,14841.0,153290.0,323152.0,8117.0,25784.0,8890.0,37467.0,80259.0,-0.2,2.0,1323.0,1883.0,1475.0,2262.0,3144.0,3676.0,5135.0,3796.0,2535.0,49.0,4714.0,292.0,3419.9806699116607,4280.5499610260085,2869.707809584748,22027.636884628428,9647.578375767836,26644.355242988204,6231.592722938144,16927.24325573626,10281.0,10946.26400492075,15549.407349231353,117123.5,11832.0,2424.0,11260.422819777748,14526.834907478136,21624.403737946068,86809.14627127307,57133.03164578834,81572.98514942905,57172.719377316505,84734.88571960128,31295.81099475793,62265.13298412273,510613.5322067915,571211.440642322,9.6,10.5,9.7,23161.0
1994-06-30,64285.0225880936,57751.530605568565,89086.50278781311,359991.38096362905,228597.90186888032,339889.100966116,231938.6412167451,349376.73116801697,265495.7092381573,127244.4107339149,21437.0,29324.0,39077.0,4787.0,9074.0,2639.0,1504.0,712.0,172777.0,11973.0,6039.0,4546.0,539.0,3245.0,138.0,404.0,258.0,9714.0,1855.0,208.0,57.0,1.0,125031.0,335139.0,24455.0,84947.0,24985.0,142053.0,16992.0,156413.0,335139.0,8837.0,26961.0,10285.0,38864.0,84947.0,4.0,3.9,1431.0,1891.0,1679.0,2354.0,2982.0,4319.0,5610.0,3366.0,2315.0,42.0,4805.0,426.0,7164.167936310544,4264.730246168302,3153.8158514530733,22422.32367236512,10041.127610210591,27232.22672330024,6873.363764371357,17502.294469313358,9338.0,10454.443848581584,15381.84086965706,122177.4,12212.0,2355.0,26740.72519327916,14817.623296256008,22412.661729953103,88860.63102354115,57238.84414811411,82352.69592728607,57598.24963452465,87266.83217175872,30704.91531860201,62755.60992998742,534134.2204621558,596439.624071105,10.8,28.0,15.3,24107.0
1994-09-30,65254.41964732156,58426.97760223087,89584.14044258601,364604.66539731255,229647.44755899548,345744.63082699623,231706.98309766204,355656.7457112799,267528.2774808089,129533.64028021964,19403.0,28941.0,42373.0,4561.0,8311.0,3162.0,1217.0,783.0,177508.0,9799.0,8689.0,4950.0,543.0,3195.0,144.0,344.0,242.0,10282.0,1687.0,290.0,45.0,18.0,121013.0,336325.0,24235.0,88233.0,25190.0,142541.0,16167.0,159097.0,336325.0,9092.0,28778.0,9914.0,40450.0,88233.0,4.6,3.3,1547.0,2138.0,1426.0,2315.0,3631.0,4375.0,6098.0,3917.0,2563.0,55.0,5613.0,228.0,5497.506497199546,4007.604684361136,3487.5206142824773,23269.38313628501,10269.760974982088,30015.28312285918,6910.711970637926,18226.747718327748,9644.0,10623.299453797645,16449.004560725327,125829.2,13257.0,2217.0,17441.12732157463,14591.096914545067,23001.85296435297,91905.6109724476,57553.42185766848,89136.99611408325,58578.50555143159,89670.90974838068,33055.84411581998,66206.22310266476,543091.4473355046,606374.562405574,12.8,22.5,15.4,24472.0
1994-12-31,70536.02731893401,59286.71111208692,89808.19988219184,368657.2443224191,231057.3277324183,357123.69537519774,231543.2674038036,363212.7844662846,270933.77383918496,132271.1590676069,19722.0,29804.0,45998.0,4289.0,9178.0,3551.0,1242.0,788.0,185744.0,11097.0,8194.0,5144.0,547.0,3394.0,119.0,524.0,247.0,11216.0,1669.0,426.0,67.0,14.0,128788.0,367849.0,26313.0,97957.0,31329.0,155965.0,21582.0,159065.0,367849.0,11503.0,31997.0,13356.0,41102.0,97957.0,7.6,3.7,1689.0,2223.0,1542.0,2239.0,4326.0,4809.0,6754.0,5406.0,2729.0,95.0,7306.0,278.0,4389.015703428675,4095.973016755848,3272.7933876238585,23701.295458515644,10564.789040530328,30664.70301556352,6229.221145557392,18372.185615788232,12710.0,10797.524898351508,19240.656802511345,131102.6,19503.0,1642.0,10583.247217179642,14266.341246996742,21961.626408323365,94276.0744221663,57307.47928475253,92039.05301085029,58385.03356171373,91111.00576987534,33732.353165505294,75874.81542959395,550697.9571777993,615215.15548074,10.2,19.7,12.7,25392.0
1995-03-31,62672.09273179656,59943.629527163655,91324.4781751067,370782.77231713897,230882.88021847827,363229.33411751647,227403.5685199397,365684.8615744487,274858.4238147295,137130.52586716946,21525.0,30882.0,47386.0,4161.0,8746.0,4094.0,1170.0,764.0,184351.0,10392.0,9044.0,6221.0,561.0,3374.0,129.0,462.0,267.0,11203.0,1694.0,579.0,66.0,12.0,114429.0,342674.0,24488.0,92824.0,25193.0,147633.0,15884.0,161151.0,342674.0,9412.0,30797.0,9995.0,42621.0,92824.0,1.0,4.0,1568.0,2286.0,1718.0,2683.0,4008.0,4923.0,6157.0,5309.0,3094.0,30.0,6902.0,288.0,3869.845198429084,4738.726360355376,3341.663960025071,25618.025704617045,11214.279137644682,30280.859406989628,6337.581014996942,19514.17672986689,12013.0,11362.12721056545,17663.415244576114,132452.0,20088.0,2345.0,10138.808911503818,15168.37479921914,22492.05008913297,91226.5359537133,57613.47760221378,87738.68997015644,56129.40084515508,90344.34035129697,33961.49549336912,64614.8624199289,529856.1529501384,594018.369969883,10.7,21.5,13.3,26838.0
1995-06-30,52991.94470745824,60003.47236526208,91360.84865505908,373060.7581559237,231091.6453666961,367846.9900504921,224384.681599416,371797.4615804053,280154.6529605043,140838.147932485,24279.0,32258.0,51533.0,3778.0,9587.0,4561.0,1152.0,799.0,193456.0,10668.0,8092.0,6529.0,521.0,3535.0,149.0,514.0,273.0,11189.0,1570.0,543.0,65.0,13.0,116764.0,354773.0,25442.0,98766.0,27453.0,147885.0,17951.0,167545.0,354773.0,10388.0,31600.0,11469.0,45309.0,98766.0,1.2,1.6,1799.0,2364.0,2144.0,2748.0,3183.0,6320.0,6894.0,4117.0,3181.0,336.0,7823.0,115.0,5560.402676405078,4880.583544379164,3476.4655496619453,26182.78368243443,11411.856916568991,31798.386674502515,7051.940011452511,20244.770859358385,11229.0,12220.989922110732,17908.797357988784,137940.2,14062.0,2987.0,14733.269024555097,15374.323626684578,22932.05542946795,92119.97258728545,57704.99111771799,89420.20318868656,55739.812265587374,92900.9789058132,34041.389918167166,66285.72418352023,541305.4798880054,606124.805904609,12.7,10.9,11.3,27812.0
1995-09-30,47926.64722232951,60439.0130014814,90802.25432406452,376124.1595600635,231257.51346930148,370868.98283414415,223909.9060402909,374906.271027715,286015.96847386553,144361.69357550296,26977.0,32829.0,55998.0,3756.0,9766.0,5453.0,1203.0,825.0,204661.0,10933.0,7903.0,6965.0,551.0,4003.0,175.0,568.0,299.0,11775.0,1647.0,621.0,53.0,14.0,120673.0,358669.0,26430.0,101060.0,28905.0,148573.0,17285.0,171282.0,358669.0,10989.0,31560.0,11214.0,47298.0,101060.0,2.7,3.6,1878.0,2555.0,2556.0,2228.0,5142.0,5145.0,8139.0,4350.0,4529.0,114.0,7292.0,398.0,5602.748612764453,4664.636406215393,3695.667355508168,27103.10473571488,11537.685583363613,34835.6576129819,7433.621719868732,21239.65385015936,12210.0,13373.733995115475,19109.65742528348,145466.0,15625.0,3140.0,15798.764286351956,15202.392755494368,23303.49215856768,94836.79658379364,57885.15835135853,95745.0077431953,56595.52885375732,94553.4907367132,36836.93479157194,70696.75111129442,562604.5061666408,628253.531840993,10.4,15.5,11.0,29747.0
1995-12-31,47955.0895944186,60683.539334222165,89634.64179531789,378202.9242771336,231420.52156135268,368188.0636568705,222504.7973328008,376598.88984560414,290414.1009577193,147431.83060773008,30705.0,33831.0,58565.0,3825.0,9837.0,7382.0,1238.0,947.0,226975.0,11673.0,8164.0,7091.0,559.0,4946.0,169.0,636.0,339.0,13326.0,1738.0,685.0,64.0,16.0,120589.0,387097.0,26586.0,110369.0,33410.0,161063.0,22991.0,170005.0,387097.0,12646.0,34526.0,14995.0,48202.0,110369.0,1.4,3.2,1986.0,2617.0,1684.0,2109.0,4860.0,6672.0,9452.0,4411.0,3050.0,498.0,9195.0,636.0,4411.383949066667,4741.402714764978,3414.305903545667,27320.53021246329,11689.21542465244,35431.15172663213,6863.647692697586,21577.90461878446,12294.0,14139.178694502927,22292.264440376595,148011.4,15069.0,1918.0,12215.601341589858,14522.322375634234,22052.95806021842,96359.34845277257,57959.51308266688,94629.44176271738,56085.99640861205,94448.06101321997,37600.72929261367,81263.4488369611,568927.1328929338,634910.539144848,9.6,13.5,10.2,31011.0
1996-03-31,56621.59179585361,60786.752443902624,93442.2982288164,386053.1197807042,233253.6511375795,371521.2992611493,224702.4688740352,387182.2544692965,289952.8257102991,148218.98948326256,26107.0,34372.0,61496.0,3813.0,9450.0,8490.0,2526.0,824.0,249402.0,11811.0,8651.0,7665.0,565.0,5012.0,164.0,516.0,337.0,14310.0,1778.0,760.0,51.0,12.0,119159.0,358151.0,28039.0,103349.0,26941.0,151500.0,16899.0,170451.0,358151.0,10679.0,33380.0,11366.0,47924.0,103349.0,7.6,4.0,1892.0,2769.0,2310.0,2197.0,4387.0,5482.0,7047.0,5549.0,3232.0,85.0,7329.0,341.0,4107.3717829141415,5425.678254162487,3542.795808773209,28766.471826376182,12668.53726110928,33464.288269725184,7125.532685110934,22395.605191607403,13053.0,14095.956992996267,20081.969870053163,148737.7,19168.0,2982.0,11132.239929223522,15462.374376102704,22924.118310795395,95233.36283301996,58711.63978817466,89735.6398502065,55483.62834573296,95558.37955839113,36608.9337866445,68276.18294523488,549810.1122628012,617616.495992299,11.8,12.1,11.6,33060.0
1996-06-30,65704.26731920955,61420.95086518282,97361.05869192263,395192.7772205003,235092.5009940607,370654.904072444,221702.67440469807,381190.2537949987,291766.23430614243,150195.9938285866,26905.0,35041.0,66511.0,3944.0,9771.0,9605.0,2084.0,807.0,256933.0,12136.0,9494.0,6518.0,563.0,5549.0,132.0,725.0,342.0,15017.0,1875.0,641.0,42.0,7.0,123770.0,370643.0,30888.0,109962.0,29341.0,153095.0,19142.0,174981.0,370643.0,11751.0,34297.0,13165.0,50748.0,109962.0,4.9,5.6,1988.0,2781.0,2134.0,2277.0,5074.0,6903.0,8539.0,5471.0,3246.0,420.0,9001.0,485.0,8793.422192874923,5484.602483553611,3719.042642240682,29842.75972525269,13640.898362807286,34444.22340666961,8139.308644252646,23582.54727554769,12278.0,14337.24389807536,19927.80482073876,158072.8,19494.0,3166.0,24803.97890507468,15645.756793382214,24424.056790524057,98251.45198663828,58783.13472218935,90470.97079766996,55105.564196880594,95179.9571908337,36443.63498866686,69377.52155703174,571991.1052534225,640145.208866828,11.1,5.9,10.1,34451.0
