,period,Net Foreign Assets,M1 Money Supply,M3 Money Supply,Claims on the Private Sector,Consumer Price Index,Retail Sales - Total,Net Gold & Forex Reserve,Motor Trade Sales at Current Prices s.a.,PMI Manufacturing,Electricity Consumption (YoY),Sales of Accessories - Income_x,Convenient Store Sales - Income,Fuel Sales - Income,Sales of Accessories - Income_y,New Vehicle Sales,Used Vehicle Sales,Workshop Income,Real GDP at Market Prices
0,2005-09-30,-5501.0,500038.0,1052858.0,27916.0,190.42,30406.0,16.06,27285.0,55.6,0.1,3148.0,1177.0,6856.0,3148.0,9573.0,5140.0,2132.0,600212.1
1,2005-12-31,-3160.0,497319.0,1068703.0,25071.0,190.88,33989.0,16.49,27900.0,51.8,2.2,3419.0,1288.0,7174.0,3419.0,8928.0,5079.0,2118.0,606683.8
2,2006-03-31,11707.0,523525.0,1152856.0,24593.0,186.53,30688.0,18.98,28403.0,48.7,2.5,3264.0,1195.0,6510.0,3264.0,10110.0,4840.0,2144.0,593898.6
3,2006-06-30,24554.0,544464.0,1224090.0,17189.0,187.28,33304.0,20.18,29378.0,56.3,5.7,3315.0,1304.0,6973.0,3315.0,9630.0,5290.0,2279.0,615465.0
4,2006-09-30,1534.0,578691.0,1265811.0,37691.0,189.07,34492.0,20.95,31855.0,61.3,5.0,3411.0,1459.0,7593.0,3411.0,11455.0,5777.0,2546.0,632122.7
5,2006-12-31,-809.0,599987.0,1341848.0,25062.0,189.68,39974.0,22.17,31381.0,55.8,3.7,3882.0,1505.0,7238.0,3882.0,10768.0,5931.0,2741.0,649809.3
6,2007-03-31,-815.0,633296.0,1418086.0,18247.0,187.4,34765.0,23.74,32541.0,58.4,5.2,4039.0,1449.0,7345.0,4039.0,11211.0,6014.0,2551.0,632100.0
7,2007-06-30,10214.0,660823.0,1501629.0,25376.0,186.06,38065.0,25.48,32539.0,56.7,4.2,3949.0,1577.0,8346.0,3949.0,9568.0,5732.0,2515.0,649120.4
8,2007-09-30,689.0,702665.0,1592391.0,26988.0,188.02,38981.0,27.45,33304.0,56.5,5.2,4127.0,1658.0,8481.0,4127.0,10934.0,6133.0,2564.0,663508.6
9,2007-12-31,19864.0,731629.0,1652163.0,27808.0,187.89,43436.0,30.67,33620.0,53.4,2.8,4393.0,1934.0,8877.0,4393.0,10972.0,6355.0,2691.0,680111.9
