period,Net Foreign Assets,M1 Money Supply,M3 Money Supply,Claims on the Private Sector,Consumer Price Index,Retail Sales - Total,Net Gold & Forex Reserve,Motor Trade Sales at Current Prices s.a.,PMI Manufacturing,Electricity Consumption (YoY),Sales of Accessories - Income_x,Convenient Store Sales - Income,Fuel Sales - Income,Sales of Accessories - Income_y,New Vehicle Sales,Used Vehicle Sales,Workshop Income,Real GDP at Market Prices
2005-09-30,-5501.0,500038.0,1052858.0,27916.0,190.42,30406.0,16.06,27285.0,55.6,0.1,3148.0,1177.0,6856.0,3148.0,9573.0,5140.0,2132.0,600212.1
2005-12-31,-3797.0,497418.6666666667,1076447.3333333333,17727.0,190.88666666666666,37074.333333333336,16.633333333333333,27851.666666666668,52.300000000000004,2.0,3374.0,1238.3333333333333,7167.333333333333,3374.0,9258.666666666666,5046.333333333333,2055.0,606683.8
2006-03-31,12211.0,523894.6666666667,1154623.0,25653.333333333332,186.9766666666667,31094.333333333332,19.06,28095.333333333332,49.300000000000004,2.1666666666666665,3220.6666666666665,1248.6666666666667,6437.666666666667,3220.6666666666665,10044.666666666666,4839.666666666667,2124.6666666666665,593898.6
2006-06-30,19822.666666666668,548205.3333333334,1221970.6666666667,16402.333333333332,188.03333333333333,33435.666666666664,20.206666666666667,29705.333333333332,57.166666666666664,3.9333333333333336,3259.6666666666665,1287.0,6829.0,3259.6666666666665,9825.333333333334,5188.666666666667,2271.3333333333335,615465.0
2006-09-30,1374.0,577455.3333333334,1265445.3333333333,31884.0,189.46666666666667,34995.666666666664,20.856666666666666,31668.0,60.666666666666664,4.7,3412.0,1412.0,7718.0,3412.0,11526.333333333334,5798.333333333333,2536.6666666666665,632122.7
2006-12-31,-4556.666666666667,598242.3333333334,1333959.0,24286.333333333332,189.67999999999998,42430.666666666664,22.189999999999998,31680.666666666668,55.833333333333336,3.466666666666667,3790.6666666666665,1483.0,7551.333333333333,3790.6666666666665,10646.666666666666,5769.666666666667,2570.6666666666665,649809.3
2007-03-31,-897.0,622306.3333333334,1404733.0,25018.0,187.70333333333335,35826.0,23.66333333333333,32588.0,57.73333333333333,5.5,4079.6666666666665,1505.6666666666667,7292.0,4079.6666666666665,11309.666666666666,5913.0,2493.0,632100.0
2007-06-30,8889.666666666666,657542.6666666666,1500423.3333333333,23521.666666666668,186.95000000000002,38350.0,25.33666666666667,32782.333333333336,57.300000000000004,3.9333333333333336,3948.6666666666665,1569.3333333333333,8158.0,3948.6666666666665,9948.666666666666,5665.333333333333,2481.6666666666665,649120.4
2007-09-30,1704.3333333333333,695086.6666666666,1582699.0,29730.666666666668,188.44000000000003,38929.666666666664,27.61,33106.333333333336,56.36666666666667,4.8999999999999995,4062.6666666666665,1651.6666666666667,8499.333333333334,4062.6666666666665,10841.666666666666,6069.333333333333,2482.0,663508.6
2007-12-31,24934.0,722928.6666666666,1645453.0,24724.333333333332,187.95666666666668,46424.333333333336,30.633333333333336,33641.333333333336,53.5,2.6666666666666665,4128.0,1941.0,9173.333333333334,4128.0,10293.0,6005.666666666667,2624.0,680111.9
2008-03-31,-8740.666666666666,761790.0,1711112.6666666667,35862.0,60.96666666666667,40183.666666666664,32.65333333333333,34541.666666666664,45.96666666666667,-0.7999999999999999,4289.666666666667,1708.6666666666667,9244.0,4289.666666666667,10569.666666666666,5789.666666666667,2525.0,656295.5
2008-06-30,-8422.666666666666,738022.0,1807072.6666666667,19987.666666666668,62.63333333333333,42763.666666666664,33.32,35000.0,49.4,-1.4000000000000001,4637.666666666667,1567.6666666666667,10415.333333333334,4637.666666666667,9551.333333333334,5435.0,2717.0,679422.9
2008-09-30,1732.0,743866.0,1855741.6666666667,10721.666666666666,64.60000000000001,43193.666666666664,33.77,34546.0,47.9,-1.2333333333333332,4787.666666666667,1697.3333333333333,11196.666666666666,4787.666666666667,9174.666666666666,5835.333333333333,2746.6666666666665,685028.5
2008-12-31,11749.666666666666,759738.6666666666,1915769.6666666667,12764.333333333334,65.03333333333333,52013.333333333336,32.71666666666667,33043.0,41.300000000000004,-5.233333333333333,4948.0,1792.3333333333333,10333.666666666666,4948.0,7941.666666666667,6011.666666666667,2518.6666666666665,687853.9
2009-03-31,-3600.6666666666665,728171.6666666666,1925755.3333333333,9060.666666666666,66.06666666666666,43703.0,33.23666666666667,30034.666666666668,37.06666666666667,-7.233333333333333,5041.666666666667,1375.6666666666667,8238.666666666666,5041.666666666667,7046.666666666667,5456.0,2574.0,649053.9
2009-06-30,-16597.333333333332,761578.3333333334,1941670.3333333333,-5422.0,67.46666666666667,44844.0,34.163333333333334,29878.0,37.5,-4.533333333333333,4980.666666666667,1378.6666666666667,8763.0,4980.666666666667,5883.0,5351.333333333333,2596.0,661876.6
2009-09-30,5577.0,768090.3333333334,1949418.3333333333,-4259.0,68.7,45156.666666666664,36.5,30559.333333333332,43.300000000000004,-1.8,5147.333333333333,1399.3333333333333,9496.333333333334,5147.333333333333,6938.666666666667,5548.666666666667,2718.6666666666665,671863.7
2009-12-31,2517.6666666666665,787641.0,1947897.3333333333,-162.0,69.03333333333333,53105.0,39.11000000000001,32442.666666666668,49.699999999999996,3.1999999999999997,5248.0,1579.6666666666667,9843.0,5248.0,7923.0,5853.333333333333,2590.3333333333335,684145.9
2010-03-31,5479.666666666667,802838.0,1940336.3333333333,5393.333333333333,69.8,45875.0,38.39666666666667,33720.0,53.43333333333334,8.233333333333333,5211.0,1476.0,9417.666666666666,5211.0,8749.333333333334,5760.333333333333,2717.6666666666665,664088.1
2010-06-30,3995.0,818401.6666666666,1977114.0,5400.666666666667,70.53333333333333,47943.666666666664,38.20666666666667,35104.666666666664,51.833333333333336,5.3,5308.0,1483.6666666666667,10443.0,5308.0,8654.666666666666,5544.333333333333,2770.6666666666665,682168.5
2010-09-30,-3665.0,837259.3333333334,2035465.0,18362.0,71.1,48411.333333333336,39.56333333333333,35714.0,52.26666666666667,0.2333333333333333,5620.0,1514.0,10570.666666666666,5620.0,9430.333333333334,6483.666666666667,2842.6666666666665,694274.0
2010-12-31,-4931.0,862303.6666666666,2081117.3333333333,6959.666666666667,71.39999999999999,57676.333333333336,43.18,37043.666666666664,51.86666666666667,1.8666666666666665,5734.666666666667,1631.0,11270.0,5734.666666666667,9663.0,6487.333333333333,2879.0,707477.3
