PERIOD,"Assets of Long-Term Insurers: Coin, Banknotes and Deposits",Assets of Long-Term Insurers: Fixed Property,Assets of Long-Term Insurers: Fixed-Interest Securities - Government,Assets of Long-Term Insurers: Fixed-Interest Securities - Local Governments,Assets of Long-Term Insurers: Fixed-Interest Securities - Public Enterprises,Assets of Long-Term Insurers: Loans against Policies,Assets of Long-Term Insurers: Mortgage Loans,Assets of Long-Term Insurers: Ordinary Shares,Assets of Long-Term Insurers: Other Fixed-Interest Securities,Assets of Long-Term Insurers: Other Loans,"Assets of Short-Term Insurers: Coin, Banknotes & Deposits",Assets of Short-Term Insurers: Fixed Property,Assets of Short-Term Insurers: Fixed-Interest Securities - Government,Assets of Short-Term Insurers: Fixed-Interest Securities - Local Governments,Assets of Short-Term Insurers: Fixed-Interest Securities - Public Enterprises,Assets of Short-Term Insurers: Mortgage Loans,Assets of Short-Term Insurers: Ordinary Shares,Assets of Short-Term Insurers: Other Fixed-Interest Securities,Assets of Short-Term Insurers: Other Loans,Final Consumption Expenditure by Constant Prices - General Government,Final Consumption Expenditure by Constant Prices - Households,Final Consumption Expenditure by Current Prices - General Government,Final Consumption Expenditure by Current Prices - Households,Final Consumption Expenditure by Households at Constant Prices - Durable Goods,Final Consumption Expenditure by Households at Constant Prices - Non - Durable Goods,Final Consumption Expenditure by Households at Constant Prices - Semi - Durable Goods ,Final Consumption Expenditure by Households at Constant Prices - Services,Final Consumption Expenditure by Households at Constant Prices - Total,Final Consumption Expenditure by Households at Current Prices - Durable Goods,Final Consumption Expenditure by Households at Current Prices - Non - Durable Goods,Final Consumption Expenditure by Households at Current Prices - Semi - Durable Goods ,Final Consumption Expenditure by Households at Current Prices - Services,Final Consumption Expenditure by Households at Current Prices - Total
1963-03-31,27.0,87.0,74.0,85.0,85.0,90.0,272.0,135.0,82.0,104.0,37.0,5.0,12.0,6.0,14.0,12.0,9.0,9.0,8.0,23858.0,69915.0,187.0,916.0,5400.0,37508.0,2854.0,22643.0,69915.0,78.0,406.0,132.0,301.0,916.0
1963-06-30,31.0,89.0,74.0,84.0,86.0,91.0,271.0,143.0,84.0,108.0,37.0,6.0,12.0,6.0,15.0,12.0,10.0,10.0,8.0,19155.0,73065.0,140.0,964.0,5745.0,39608.0,3163.0,22813.0,73065.0,84.0,426.0,149.0,305.0,964.0
1963-09-30,29.0,92.0,75.0,86.0,85.0,91.0,271.0,153.0,88.0,115.0,40.0,6.0,12.0,6.0,15.0,12.0,9.0,11.0,5.0,23777.0,73279.0,181.0,968.0,5870.0,40495.0,3047.0,22487.0,73279.0,85.0,439.0,141.0,303.0,968.0
1963-12-31,27.0,97.0,76.0,86.0,96.0,93.0,273.0,173.0,93.0,104.0,41.0,5.0,12.0,6.0,16.0,12.0,11.0,11.0,7.0,21704.0,82291.0,165.0,1091.0,7344.0,44655.0,3913.0,23626.0,82291.0,109.0,480.0,187.0,316.0,1091.0
1964-03-31,29.0,103.0,76.0,87.0,98.0,93.0,273.0,181.0,99.0,108.0,42.0,5.0,12.0,6.0,16.0,13.0,11.0,11.0,7.0,26529.0,76508.0,227.0,1006.0,6834.0,41133.0,3111.0,23732.0,76508.0,95.0,446.0,142.0,322.0,1006.0
1964-06-30,29.0,108.0,72.0,87.0,102.0,93.0,274.0,195.0,100.0,104.0,39.0,6.0,12.0,6.0,16.0,13.0,12.0,14.0,8.0,21094.0,79152.0,174.0,1064.0,7114.0,42404.0,3536.0,23746.0,79152.0,103.0,467.0,165.0,328.0,1064.0
1964-09-30,32.0,116.0,70.0,87.0,101.0,93.0,279.0,199.0,106.0,110.0,39.0,5.0,12.0,6.0,16.0,13.0,13.0,11.0,5.0,24429.0,79805.0,208.0,1085.0,7653.0,43173.0,3485.0,23286.0,79805.0,109.0,484.0,164.0,329.0,1085.0
1964-12-31,33.0,119.0,66.0,89.0,104.0,94.0,302.0,209.0,110.0,112.0,40.0,5.0,12.0,7.0,18.0,12.0,16.0,11.0,5.0,23357.0,87534.0,198.0,1209.0,8279.0,46557.0,4379.0,24403.0,87534.0,130.0,528.0,209.0,342.0,1209.0
1965-03-31,33.0,122.0,68.0,91.0,108.0,95.0,308.0,223.0,115.0,114.0,40.0,4.0,12.0,7.0,18.0,13.0,18.0,8.0,6.0,25810.0,79726.0,225.0,1097.0,7341.0,42407.0,3476.0,23907.0,79726.0,110.0,484.0,163.0,340.0,1097.0
1965-06-30,29.0,125.0,68.0,91.0,111.0,97.0,317.0,229.0,121.0,112.0,42.0,5.0,12.0,7.0,19.0,14.0,19.0,8.0,6.0,23764.0,82280.0,204.0,1160.0,6615.0,44411.0,3897.0,24416.0,82280.0,104.0,514.0,188.0,354.0,1160.0
1965-09-30,31.0,129.0,63.0,93.0,117.0,99.0,327.0,235.0,125.0,113.0,49.0,5.0,12.0,8.0,19.0,13.0,20.0,8.0,5.0,27546.0,82010.0,238.0,1155.0,6538.0,45595.0,3649.0,23644.0,82010.0,102.0,531.0,173.0,349.0,1155.0
1965-12-31,29.0,131.0,64.0,90.0,121.0,103.0,340.0,237.0,131.0,118.0,52.0,6.0,14.0,9.0,20.0,17.0,20.0,7.0,5.0,26570.0,90595.0,232.0,1291.0,7635.0,49596.0,4615.0,24583.0,90595.0,130.0,581.0,223.0,357.0,1291.0
1966-03-31,29.0,133.0,74.0,91.0,121.0,104.0,350.0,240.0,134.0,123.0,51.0,6.0,16.0,9.0,21.0,18.0,23.0,7.0,6.0,29688.0,82764.0,273.0,1188.0,7319.0,44482.0,3691.0,24054.0,82764.0,116.0,531.0,177.0,364.0,1188.0
1966-06-30,30.0,138.0,74.0,91.0,123.0,107.0,361.0,246.0,138.0,124.0,53.0,6.0,28.0,12.0,20.0,18.0,23.0,7.0,6.0,25540.0,86117.0,226.0,1250.0,7074.0,46899.0,4088.0,24676.0,86117.0,115.0,558.0,199.0,378.0,1250.0
1966-09-30,31.0,142.0,79.0,94.0,124.0,108.0,368.0,253.0,140.0,127.0,55.0,6.0,29.0,12.0,21.0,19.0,26.0,7.0,6.0,27681.0,87489.0,248.0,1273.0,7403.0,48780.0,3924.0,24624.0,87489.0,118.0,586.0,188.0,381.0,1273.0
1966-12-31,36.0,149.0,94.0,95.0,126.0,110.0,374.0,253.0,139.0,131.0,57.0,6.0,31.0,12.0,21.0,18.0,28.0,8.0,5.0,25947.0,93869.0,234.0,1396.0,8185.0,50156.0,5009.0,25083.0,93869.0,143.0,614.0,248.0,391.0,1396.0
